Timestamp,Attack_Type,Fold
2015-12-28 10:29:14,Attack_1,2
2015-12-28 10:29:15,Attack_1,2
2015-12-28 10:29:16,Attack_1,2
2015-12-28 10:29:17,Attack_1,0
2015-12-28 10:29:19,Attack_1,3
2015-12-28 10:29:20,Attack_1,3
2015-12-28 10:29:21,Attack_1,1
2015-12-28 10:29:22,Attack_1,2
2015-12-28 10:29:23,Attack_1,2
2015-12-28 10:29:24,Attack_1,0
2015-12-28 10:29:25,Attack_1,1
2015-12-28 10:29:27,Attack_1,1
2015-12-28 10:29:29,Attack_1,1
2015-12-28 10:29:30,Attack_1,3
2015-12-28 10:29:31,Attack_1,2
2015-12-28 10:29:32,Attack_1,1
2015-12-28 10:29:33,Attack_1,1
2015-12-28 10:29:34,Attack_1,3
2015-12-28 10:29:35,Attack_1,1
2015-12-28 10:29:36,Attack_1,1
2015-12-28 10:29:38,Attack_1,3
2015-12-28 10:29:39,Attack_1,1
2015-12-28 10:29:40,Attack_1,1
2015-12-28 10:29:42,Attack_1,1
2015-12-28 10:29:44,Attack_1,1
2015-12-28 10:29:45,Attack_1,3
2015-12-28 10:29:46,Attack_1,1
2015-12-28 10:29:47,Attack_1,2
2015-12-28 10:29:48,Attack_1,0
2015-12-28 10:29:49,Attack_1,0
2015-12-28 10:29:51,Attack_1,0
2015-12-28 10:29:52,Attack_1,3
2015-12-28 10:29:54,Attack_1,3
2015-12-28 10:29:55,Attack_1,1
2015-12-28 10:29:56,Attack_1,3
2015-12-28 10:29:57,Attack_1,2
2015-12-28 10:29:58,Attack_1,2
2015-12-28 10:30:01,Attack_1,0
2015-12-28 10:30:02,Attack_1,1
2015-12-28 10:30:03,Attack_1,1
2015-12-28 10:30:04,Attack_1,0
2015-12-28 10:30:05,Attack_1,0
2015-12-28 10:30:06,Attack_1,0
2015-12-28 10:30:07,Attack_1,2
2015-12-28 10:30:08,Attack_1,0
2015-12-28 10:30:09,Attack_1,0
2015-12-28 10:30:10,Attack_1,0
