Timestamp,FIT101,LIT101,MV101,P101,P102,AIT201,AIT202,AIT203,FIT201,MV201,P201,P202,P203,P204,P205,P206,DPIT301,FIT301,LIT301,MV301,MV302,MV303,MV304,P301,P302,AIT401,AIT402,FIT401,LIT401,P401,P402,P403,P404,UV401,AIT501,AIT502,AIT503,AIT504,FIT501,FIT502,FIT503,FIT504,P501,P502,PIT501,PIT502,PIT503,FIT601,P601,P602,P603,Normal/Attack,Attack_Type,Fold
2015-12-28 10:29:14,2.493675,817.6742,2,1,1,262.625,8.46533,319.7385,0.0,1,1,1,1,1,1,1,19.76439,2.209269,830.5563,1,2,1,1,1,2,148.808,154.1912,1.711595,809.254,1,2,1,1,2,7.876058,143.476,262.5288,12.11228,1.725327,1.274881,0.7353967,0.3081062,2,1,249.8718,1.681991,188.7977,0.000128152,1,1,1,Attack,Attack_1,2
2015-12-28 10:29:15,2.535951,817.949,2,1,1,262.625,8.46533,319.7385,0.0,1,1,1,1,1,1,1,19.76439,2.209269,829.5549,1,2,1,1,1,2,148.808,154.1912,1.711595,809.2156,1,2,1,1,2,7.876058,143.476,262.4007,12.11228,1.725327,1.280646,0.7353967,0.3081062,2,1,249.8718,1.681991,188.7977,0.000128152,1,1,1,Attack,Attack_1,2
2015-12-28 10:29:16,2.535951,817.949,2,1,1,262.625,8.46533,319.7385,0.0,1,1,1,1,1,1,1,19.76439,2.209269,829.5549,1,2,1,1,1,2,148.808,154.1912,1.711595,809.2156,1,2,1,1,2,7.876058,143.476,262.4007,12.11228,1.725327,1.280646,0.7353967,0.3081062,2,1,249.8718,1.681991,188.7977,0.000128152,1,1,1,Attack,Attack_1,2
2015-12-28 10:29:17,2.5699,818.4592,2,1,1,262.625,8.46533,319.7385,0.0,1,1,1,1,1,1,1,19.76439,2.209269,828.9942,1,2,1,1,1,2,148.808,154.1912,1.711595,809.0233,1,2,1,1,2,7.876058,143.476,262.3366,12.11228,1.725327,1.289996,0.7353967,0.3081062,2,1,249.8718,1.681991,188.7977,0.000128152,1,1,1,Attack,Attack_1,0
2015-12-28 10:29:18,2.610575,818.8911,2,1,1,262.625,8.46533,319.7385,0.0,1,1,1,1,1,1,1,19.76439,2.209269,828.2732,1,2,1,1,1,2,148.808,154.1912,1.711595,808.9464,1,2,1,1,2,7.876058,143.476,262.3366,12.11228,1.725327,1.299603,0.7353967,0.3081062,2,1,250.0801,1.681991,188.974,0.000128152,1,1,1,Attack,Attack_1,4
2015-12-28 10:29:19,2.635557,818.6948,2,1,1,262.625,8.46533,319.9436,0.0,1,1,1,1,1,1,1,19.76439,2.209269,827.9528,1,2,1,1,1,2,148.808,154.1912,1.711595,808.7926,1,2,1,1,2,7.876058,143.476,262.3366,12.11228,1.725327,1.301652,0.7353967,0.3086186,2,1,250.1923,1.681991,188.974,0.000128152,1,1,1,Attack,Attack_1,3
2015-12-28 10:29:20,2.657336,819.3228,2,1,1,262.625,8.46533,319.9436,0.0,1,1,1,1,1,1,1,19.76439,2.209269,827.4321,1,2,1,1,1,2,148.808,154.1912,1.711595,808.9464,1,2,1,1,2,7.876058,143.476,262.3366,12.11228,1.725327,1.284745,0.7353967,0.3086186,2,1,250.1923,1.681991,188.974,0.000128152,1,1,1,Attack,Attack_1,3
2015-12-28 10:29:21,2.663741,819.7938,2,1,1,262.625,8.46533,319.9436,0.0,1,1,1,1,1,1,1,19.72598,2.209269,826.8713,1,2,1,1,1,2,148.808,154.1912,1.71262,808.9464,1,2,1,1,2,7.876058,143.476,262.3366,12.11228,1.725327,1.273473,0.7353967,0.3086186,2,1,250.1923,1.681991,189.0541,0.000128152,1,1,1,Attack,Attack_1,1
2015-12-28 10:29:22,2.641642,820.0686,2,1,1,262.625,8.46533,319.9436,0.0,1,1,1,1,1,1,1,19.70677,2.210678,826.3907,1,2,1,1,1,2,148.808,154.4219,1.714029,808.9849,1,2,1,1,2,7.876058,143.476,262.3366,12.11228,1.726352,1.26425,0.7353967,0.3086186,2,1,250.1923,1.681991,189.0541,0.000128152,1,1,1,Attack,Attack_1,2
2015-12-28 10:29:23,2.629792,820.4611,2,1,1,262.625,8.46533,319.9436,0.0,1,1,1,1,1,1,1,19.70677,2.210678,826.2705,1,2,1,1,1,2,148.808,154.4219,1.716464,809.7155,1,2,1,1,2,7.876058,143.476,262.3366,12.11228,1.727378,1.262073,0.7353967,0.3086186,2,1,250.1923,1.681991,189.2143,0.000128152,1,1,1,Attack,Attack_1,2
